,product,title ,rating,body
0,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Posting this review after 2 Month of daily usage.,4.0,"this headphone is giving more than you can expect at this price point.after charging it to fully 100% it gave me music playback of 11-12hrs ( used it on different-different volume levels),battery backup is excellent as brand mentioned.it takes 1-1:30hrs to fully charge.sound quality is excellent,very clear and loud,bass levels are great.tried it with many different devices like laptop, pc and mobile, sounds great.calling experience was overall good, while calling on other end person will hear little noise on your voice.one thing i loved about it that it also supports 3.5mm jack so if it runs out of battery you can still enjoySingh Sujeet"
1,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Simply amazing and worth the money 😍,5.0,Writing this review after using the headphones for 7 days.Headphone material is very good and the headrest padding is soft and gives comfort for using it for a long duration. The ear cushions are very soft and fits properly on the ear i.e covers complete ear and reduces external noise. The ear cushions allows to wear the headphones for long duration without causing pain to ears.Sound quality has been superb with crystal clear audio quality and covers every minute  sounds/instrumental sound. The bass quality is simply amazing 😍😍.Bluetooth connectivity has been good and no issues while connecting with different devices.Battery life is exceptional..... I have been using it on daily basis for 2-3 hours and it has 80% charging even after using for 7 days. Standby battery consumption is very low.The Aux mode doesn't gives the same experience what it provides on the bluetooth mode but worth the experience.Simply amazing and worth the money 😍
2,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Must have product,5.0,"First of all lets talk about its quality it is quite good and they are very comfortable to wear we can wear these headphones nonstop for hours and simply enjoy the music, movies or Webseries thanks to the foam padding on ear cups.I am impressed by its battery backup we can listen music  for 12hrs non stop without any disturbance it is good to take these headphones with you on a long journey. I purchased this product for listening bass boosted workout music while performing exercise if you are doing exercise from long time and lack motivation while workout i recommend you these headphones because i found its sound quality amazing it has similar specifications to those products who are very much expensive so if you are looking for headphones which consist of good specifications at a reasonable price then go for this product"
3,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)","Good product, recommended 👍",5.0,"Awesome product in under 1k, too loud to handle as I like to listen on lower side of the volume for the benefit of my ears and hearing ability in the long run, good connectivity, great battery life, need to charge it only after 4-5 days when I m using it 2-3 a day, nice padding around the earpices as they cover up entilre earand sit on the skull so no pressure on the earlobe even if used for longer time, the best part is that there is no it hing or discomfort because of the sound.The bass and volume is very good, at full volume, you can use it as a speaker if you wish, just the volume buttons are reverse than one expects, the lower one is at the top and the higher one is at the bottom of the buttons.Picking a call is tricky, because it blares at full volume which is too loud for the ears, its like an explosion; makers should do something to keep it at medium or last set level for receiving calls."
4,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Complete package,5.0,Awesome sound quality. Bluetooth connection works very well. Light weight and comfortable ear cups. Bass is also quite impressive at this price point. The only problem is that the sound comes about 1 second delay while playing online games but it is fixed while using the auxillary cable provided in the box. You can pause or go to the next or previous sound track or even Youtube video and change the volume directly from the headphone. If you are buying your first headphone then this is best but i would not recommend it for people who play games all the time with headphones.
5,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",more than expected !!,5.0,"posting this review after 2 weeks of daily usagethis headphone is giving more than you can expect at this price point.after charging it to fully 100% it gave me music playback of 11-12hrs ( used it on different-different volume levels), battery backup is excellent as brand mentioned up to 12hrs on box.it takes 2-2:10hrs to fully charge.sound quality is excellent, very clear and loud, bass levels are great. tried it with many different devices like laptop,pc, smart tv and mobile, sounds great on every devices specially it sounds more better on mid end and high end devices.calling experience was overall good, while calling on other end person will hear little noise on your voice but still not that worse experiencebuild quality is great, has soft touch plastic finish on outer side. perfectly fits on every as size is fully adjustable.one thing i loved about it that it also supports 3.5mm jack so if it runs out of battery you can still enjoy your music without any interruption.overall this headphone is best buy for money. if anyone need a great big size headphone at this price then i will definitely recommend this"
6,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",pTron Studio Over The Ear Wireless Bluetooth Headphones with Mic - Review,1.0,Please avoid buying this product. I brought today not even used for 1 hrs not satisfied1. Call Hearing is not clear /Unable to hear other person2. Hearing songs is good but no bass at all3. Bluetooth connectivity takes time to connect
7,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Nice product,5.0,Very very nice productBest in class sound quality battery backupBassCan be used with aux if battery drains Value for money. You can't get anything better than this. Period.I think best headphone in this price so go for it😎I am so happy
8,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Average headphones,3.0,"These are about average headphones. The build quality is ok.I did not quite measure the battery backup time, but it usually lasts me for a couple of days with intermittent use for music and youtube videos.The headphones work well with the aux cable.There is a distinct lag when watching videos with the headphones in Bluetooth mode.The sound is clear and balanced. Bass is not heavily boosted.The microphone is not quite effective for calls. The people who I spoke to on phone, using these headphones, gave feedback that my voice was very low and with some distortion.The earmuffs are ok, but I would have preferred them to be a bit larger. They did not cover my ears completely, so I found the earphones somewhat uncomfortable after an hour and half of continuous use."
9,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Just an average headphone,3.0,"Build quality looks below average, the aux & charging cable provided with the headphones are of poor quality. Sound is just okay and bluetooth works just fine.I dont think they are gonna last very long. I'm not even sure if they are worth ₹700."
